CustomerID,Product,Date
2001,Hoodie,2023-01-01
2001,Leather Jacket,2023-01-01
2001,Sneakers,2023-01-01
2001,Backpack,2023-01-01
2001,Blue Jeans,2023-01-01
2001,Sunglasses,2023-01-01
2002,Leather Jacket,2023-01-01
2002,Sunglasses,2023-01-01
2003,Smartwatch,2023-01-01
2003,Leather Jacket,2023-01-01
2003,Sneakers,2023-01-01
2003,Dress Shoes,2023-01-01
2004,Sneakers,2023-01-01
2004,Backpack,2023-01-01
2004,White T-shirt,2023-01-01
2004,Blue Jeans,2023-01-01
2005,Leather Jacket,2023-01-01
2005,White T-shirt,2023-01-01
2005,Sunglasses,2023-01-01
2006,Hoodie,2023-01-01
2006,White T-shirt,2023-01-01
2006,Blue Jeans,2023-01-01
2007,Sneakers,2023-01-01
2007,White T-shirt,2023-01-01
2007,Blue Jeans,2023-01-01
2008,Hoodie,2023-01-01
2008,Sneakers,2023-01-01
2008,Backpack,2023-01-01
2008,White T-shirt,2023-01-01
2008,Blue Jeans,2023-01-01
2009,Sneakers,2023-01-01
2009,Blue Jeans,2023-01-01
2010,Hoodie,2023-01-01
2010,Sneakers,2023-01-01
2010,White T-shirt,2023-01-01
2010,Blue Jeans,2023-01-01
2011,Hoodie,2023-01-01
2011,White T-shirt,2023-01-01
2011,Blue Jeans,2023-01-01
2012,White T-shirt,2023-01-01
2013,Hoodie,2023-01-01
2013,Leather Jacket,2023-01-01
2013,Sneakers,2023-01-01
2013,Backpack,2023-01-01
2013,White T-shirt,2023-01-01
2013,Dress Shoes,2023-01-01
2013,Blue Jeans,2023-01-01
2014,Sneakers,2023-01-01
2014,Backpack,2023-01-01
2014,White T-shirt,2023-01-01
2014,Blue Jeans,2023-01-01
2014,Sunglasses,2023-01-01
2015,Backpack,2023-01-01
2015,White T-shirt,2023-01-01
2015,Blue Jeans,2023-01-01
2016,Hoodie,2023-01-01
2016,Sneakers,2023-01-01
2016,White T-shirt,2023-01-01
2017,Backpack,2023-01-01
2018,Hoodie,2023-01-01
2018,Leather Jacket,2023-01-01
2018,White T-shirt,2023-01-01
2019,Hoodie,2023-01-01
2019,Backpack,2023-01-01
2019,Formal Shirt,2023-01-01
2019,White T-shirt,2023-01-01
2019,Sunglasses,2023-01-01
2020,Sneakers,2023-01-01
2020,Backpack,2023-01-01
2020,Smartwatch,2023-01-01
2020,White T-shirt,2023-01-01
2020,Sunglasses,2023-01-01
2021,Formal Shirt,2023-01-01
2021,White T-shirt,2023-01-01
2022,Hoodie,2023-01-01
2022,Leather Jacket,2023-01-01
2022,Sneakers,2023-01-01
2022,Backpack,2023-01-01
2022,White T-shirt,2023-01-01
2022,Dress Shoes,2023-01-01
2022,Blue Jeans,2023-01-01
2022,Sunglasses,2023-01-01
2023,Sneakers,2023-01-01
2023,White T-shirt,2023-01-01
2024,Hoodie,2023-01-01
2024,Leather Jacket,2023-01-01
2024,Dress Shoes,2023-01-01
2024,White T-shirt,2023-01-01
2025,Leather Jacket,2023-01-01
2025,Formal Shirt,2023-01-01
2025,Backpack,2023-01-01
2025,White T-shirt,2023-01-01
2025,Dress Shoes,2023-01-01
2025,Blue Jeans,2023-01-01
2026,Sneakers,2023-01-01
2026,Backpack,2023-01-01
2026,Sunglasses,2023-01-01
2026,Blue Jeans,2023-01-01
2027,Smartwatch,2023-01-01
2027,Sneakers,2023-01-01
2028,Hoodie,2023-01-01
2028,White T-shirt,2023-01-01
2028,Blue Jeans,2023-01-01
2029,Smartwatch,2023-01-01
2029,Backpack,2023-01-01
2029,White T-shirt,2023-01-01
2029,Blue Jeans,2023-01-01
2030,White T-shirt,2023-01-01
2031,Hoodie,2023-01-01
2031,Leather Jacket,2023-01-01
2031,White T-shirt,2023-01-01
2032,Hoodie,2023-01-01
